entry_idx,entry_price,exit_idx,exit_price,roi,pnl,days_held,max_price,min_price,max_gain,max_loss,status
27,100.414034431575,107,103.42645546452226,0.03,30.0,80,103.4290672415394,100.414034431575,0.0300260100794867,0.0,closed_target
25,100.5292670565659,108,103.54514506826288,0.03,30.0,83,103.55443568934604,100.414034431575,0.030092417077684768,-0.0011462594761190894,closed_target
26,100.5346553816686,108,103.55069504311867,0.03,30.0,82,103.55443568934604,100.414034431575,0.030037207530211125,-0.0011997947338225963,closed_target
28,100.53156938565938,108,103.54751646722916,0.03,30.0,80,103.55443568934604,100.53156938565938,0.030068826361302786,0.0,closed_target
29,100.5509202309904,117,103.56744783792011,0.03,30.0,88,103.59263156827744,100.5509202309904,0.030250457482631436,0.0,closed_target
30,100.5778926560055,119,103.59522943568567,0.03,30.0,89,103.68332197997384,100.5778926560055,0.030875863889786047,0.0,closed_target
32,100.64292651241028,119,103.66221430778259,0.03,30.0,87,103.68332197997384,100.64292651241028,0.030209728322920387,0.0,closed_target
33,100.65575832604172,119,103.67543107582297,0.03,30.0,86,103.68332197997384,100.65575832604172,0.03007839496003108,0.0,closed_target
24,100.82306971440228,144,103.84776180583435,0.03,30.0,120,103.94328345699068,100.414034431575,0.03094741859603082,-0.004056961209234499,closed_target
31,100.76117303568248,144,103.78400822675295,0.03,30.0,113,103.94328345699068,100.64292651241028,0.03158072028579234,-0.0011735326188621925,closed_target
161,103.28259247895626,199,106.38107025332495,0.03,30.0,38,106.38959927736327,103.28259247895626,0.030082579492183677,0.0,closed_target
1625,98.2058706083802,1649,101.15204672663161,0.03,30.0,24,101.2690071103111,98.2058706083802,0.031190971404814492,0.0,closed_target
1624,98.3921405614676,1650,101.34390477831163,0.03,30.0,26,101.36907434804232,98.2058706083802,0.03025580874231481,-0.0018931385375342783,closed_target
1623,98.68611241926584,1651,101.64669579184381,0.03,30.0,28,101.6954785733684,98.2058706083802,0.030494322659274868,-0.004866356563376894,closed_target
1626,98.5341306892373,1651,101.49015460991443,0.03,30.0,25,101.6954785733684,98.5341306892373,0.03208378520232291,0.0,closed_target
1622,98.85109354712804,1692,101.81662635354189,0.03,30.0,70,101.95243446987992,98.2058706083802,0.031373865593841754,-0.006527221051330448,closed_target
1620,99.67728817181512,1713,102.66760681696958,0.03,30.0,93,102.7555950198935,98.2058706083802,0.030882730705637414,-0.014761813753386059,closed_target
1621,99.48646412872604,1713,102.47105805258782,0.03,30.0,92,102.7555950198935,98.2058706083802,0.032860057092164004,-0.012872037734589498,closed_target
1627,99.62513312339031,1713,102.61388711709202,0.03,30.0,86,102.7555950198935,98.91723788852674,0.03142241117636421,-0.007105588847613485,closed_target
1630,99.6269498076322,1713,102.61575830186116,0.03,30.0,83,102.7555950198935,98.91723788852674,0.03140360332522823,-0.007123694145769074,closed_target
1633,99.52019802915152,1713,102.50580397002607,0.03,30.0,80,102.7555950198935,98.91723788852674,0.03250995330409486,-0.006058671029253319,closed_target
1884,96.66198062823742,1908,99.56184004708454,0.03,30.0,24,99.68691690858503,96.2305693720814,0.0312939612936501,-0.0044630914176611095,closed_target
1881,97.11880276528058,1911,100.032366848239,0.03,30.0,30,100.04527593975924,96.2305693720814,0.03013292062044299,-0.009145843728591667,closed_target
1883,96.97701945001288,1911,99.88633003351326,0.03,30.0,28,100.04527593975924,96.2305693720814,0.03163900589178144,-0.007697185190520633,closed_target
1878,97.15958972891704,1934,100.07437742078456,0.03,30.0,56,100.11220025309176,96.2305693720814,0.03038928563215153,-0.009561797856780546,closed_target
1876,97.42198726382856,1937,100.34464688174342,0.03,30.0,61,100.50393110840496,96.2305693720814,0.03163499258365759,-0.012229455846765583,closed_target
1877,97.2653561808112,1937,100.18331686623553,0.03,30.0,60,100.50393110840496,96.2305693720814,0.033296284049722895,-0.010638801412562317,closed_target
1879,97.39404023747296,1937,100.31586144459716,0.03,30.0,58,100.50393110840496,96.2305693720814,0.0319310181952534,-0.011946017051502366,closed_target
1880,97.3236701047843,1937,100.24338020792783,0.03,30.0,57,100.50393110840496,96.2305693720814,0.03267715860074537,-0.011231602050415877,closed_target
1882,97.321954862342,1937,100.24161350821225,0.03,30.0,55,100.50393110840496,96.2305693720814,0.03269535893071339,-0.011214175586632152,closed_target
1875,98.46404850202342,1948,101.41796995708413,0.03,30.0,73,101.6015110761413,96.2305693720814,0.031864041971150676,-0.022683194159908163,closed_target
2003,98.21663148407468,2101,101.16313042859693,0.03,30.0,98,101.20358507275498,97.52720604498504,0.03041189199371608,-0.007019436817087676,closed_target
2009,98.1830450551014,2101,101.12853640675445,0.03,30.0,92,101.20358507275498,97.52720604498504,0.030764375009538693,-0.006679758299900992,closed_target
2006,98.27896718568758,2102,101.22733620125821,0.03,30.0,96,101.26373617258028,97.52720604498504,0.030370373970793795,-0.007649257641079695,closed_target
2001,98.35518628440605,2103,101.30584187293823,0.03,30.0,102,101.4127716093327,97.52720604498504,0.031087179440495053,-0.00841826720786033,closed_target
2002,98.3707013307117,2103,101.32182237063304,0.03,30.0,101,101.4127716093327,97.52720604498504,0.030924556168344115,-0.008574659673218356,closed_target
2004,98.3478211874903,2103,101.29825582311501,0.03,30.0,99,101.4127716093327,97.52720604498504,0.031164395762254615,-0.00834400938014519,closed_target
2010,98.3347366122205,2103,101.28477871058712,0.03,30.0,93,101.4127716093327,97.52720604498504,0.03130160412439318,-0.008212058068756802,closed_target
2005,98.5007304031072,2125,101.22942409927153,0.027702268653210425,27.702268653210425,120,101.4532561979576,97.52720604498504,0.029974658896105656,-0.009883422733395819,closed_timeout
2007,98.56652141049496,2127,101.52351705280981,0.03,30.0,120,101.540965705999,97.52720604498504,0.030177024134964918,-0.010544303995283931,closed_target
2008,98.6413373928622,2128,101.48569072103676,0.028835307826842013,28.835307826842012,120,101.540965705999,97.52720604498504,0.029395671123033883,-0.011294771313165326,closed_timeout
4220,97.760844354598,4340,99.6078798037045,0.01889340728693929,18.89340728693929,120,99.81703151282744,96.66224342659632,0.02103282936848658,-0.011237637473924053,closed_timeout
4224,97.80901607679854,4344,100.0692535556056,0.023108682302174915,23.108682302174916,120,100.14308890721124,96.66224342659632,0.02386357540474598,-0.01172461084059766,closed_timeout
4225,97.937507288736,4345,100.86363910737296,0.02987754027688533,29.87754027688533,120,100.86363910737296,96.66224342659632,0.02987754027688533,-0.01302119992067995,closed_timeout
4227,97.7259473746727,4345,100.65772579591288,0.03,30.0,118,100.86363910737296,96.66224342659632,0.032107048506479316,-0.01088456010560054,closed_target
4228,97.83595896836133,4345,100.77103773741217,0.03,30.0,117,100.86363910737296,96.66224342659632,0.03094649626719295,-0.01199677045271839,closed_target
4229,97.9071726856777,4345,100.84438786624803,0.03,30.0,116,100.86363910737296,96.66224342659632,0.030196627484962123,-0.012715404039682661,closed_target
4230,97.90589891842986,4345,100.84307588598276,0.03,30.0,115,100.86363910737296,96.66224342659632,0.030210030464122926,-0.012702559351093703,closed_target
4231,97.5332087055488,4345,100.45920496671526,0.03,30.0,114,100.86363910737296,96.66224342659632,0.034146630117324196,-0.008929935665111898,closed_target
4232,97.58012533386062,4345,100.50752909387644,0.03,30.0,113,100.86363910737296,96.66224342659632,0.033649411314836154,-0.009406443208838494,closed_target
4226,97.93066232372176,4346,100.86858219343341,0.03,30.0,120,101.30043733610772,96.66224342659632,0.034409805186926594,-0.012952214015795474,closed_target
5387,94.7122423414322,5507,92.2521650838064,-0.025974226739953647,-25.974226739953647,120,94.7122423414322,91.78518496029191,0.0,-0.030904741655132743,closed_timeout
5603,90.5078317146388,5697,93.22306666607797,0.03,30.0,94,93.229936080321,90.02189736808045,0.030075898561626065,-0.005368975671524752,closed_target
5602,90.60551491550912,5698,93.3236803629744,0.03,30.0,96,93.5681018896926,90.02189736808045,0.03269764513723181,-0.006441302695237753,closed_target
5604,90.522718320042,5698,93.23839986964326,0.03,30.0,94,93.5681018896926,90.02189736808045,0.033642201937459267,-0.0055325443298212835,closed_target
5597,91.11109263558224,5710,93.8444254146497,0.03,30.0,113,93.88873180303553,90.02189736808045,0.030486289727234783,-0.011954584628440977,closed_target
5598,91.01590432160248,5710,93.74638145125056,0.03,30.0,112,93.88873180303553,90.02189736808045,0.0315640162326134,-0.010921244599292584,closed_target
5599,90.9723048111207,5710,93.70147395545432,0.03,30.0,111,93.88873180303553,90.02189736808045,0.03205840500545745,-0.010447217370314092,closed_target
5600,91.1165661143842,5710,93.85006309781572,0.03,30.0,110,93.88873180303553,90.02189736808045,0.030424387209360568,-0.012013937673304642,closed_target
5601,90.9414096758618,5710,93.66965196613766,0.03,30.0,109,93.88873180303553,90.02189736808045,0.03240902178313182,-0.010111040845515095,closed_target
5595,91.48117599817095,5715,93.53093387239744,0.022406334984887696,22.406334984887696,120,94.13830253773568,90.02189736808045,0.029045609772417602,-0.015951682017289387,closed_timeout
5596,91.45503281843202,5716,93.20726170314948,0.0191594582683734,19.1594582683734,120,94.13830253773568,90.02189736808045,0.02933977099577264,-0.015670383643039208,closed_timeout
5881,89.362954968754,5900,92.04384361781662,0.03,30.0,19,92.16812432399882,89.362954968754,0.03139074078543692,0.0,closed_target
5883,89.54318887548897,5901,92.22948454175364,0.03,30.0,18,92.32460889463135,89.54318887548897,0.031062329296871374,0.0,closed_target
5884,89.71395844586363,5902,92.40537719923954,0.03,30.0,18,92.52237135740076,89.71395844586363,0.031304079768499145,0.0,closed_target
5882,89.8693249803235,5903,92.5654047297332,0.03,30.0,21,92.67184525790114,89.54318887548897,0.031184392207143447,-0.003629003610586129,closed_target
7220,77.85671966843952,7259,80.19242125849271,0.03,30.0,39,80.74876888154286,77.85671966843952,0.037145788127465544,0.0,closed_target
7224,78.11651350474465,7259,80.46000890988698,0.03,30.0,35,80.74876888154286,78.01981389302473,0.03369652918058529,-0.0012378894984098297,closed_target
7225,78.09844504974407,7259,80.4413984012364,0.03,30.0,34,80.74876888154286,78.01981389302473,0.03393567989875711,-0.0010068210278611311,closed_target
7230,78.3698021266072,7259,80.72089619040541,0.03,30.0,29,80.74876888154286,78.01981389302473,0.030355656010109814,-0.004465855777166001,closed_target
7231,78.04120696258141,7259,80.38244317145886,0.03,30.0,28,80.74876888154286,78.01981389302473,0.034694003646812466,-0.0002741253036608925,closed_target
7247,78.20152757773181,7259,80.54757340506377,0.03,30.0,12,80.74876888154286,78.01981389302473,0.03257278192269464,-0.0023236590171011023,closed_target
7248,78.09300178467382,7259,80.43579183821403,0.03,30.0,11,80.74876888154286,78.01981389302473,0.03400774763648861,-0.0009371888642581,closed_target
7249,78.01981389302473,7259,80.36040830981548,0.03,30.0,10,80.74876888154286,78.01981389302473,0.0349777172278298,0.0,closed_target
7250,78.17577331523842,7259,80.52104651469557,0.03,30.0,9,80.74876888154286,78.17577331523842,0.03291295317193749,0.0,closed_target
7311,78.38230527667841,7379,80.73377443497877,0.03,30.0,68,80.81665689700733,77.65546586629037,0.031057412916550616,-0.009273003745199867,closed_target
7273,78.74977149317358,7384,81.11226463796879,0.03,30.0,111,81.3431496812907,77.65546586629037,0.03293188207335841,-0.01389598478997583,closed_target
7306,78.87227818755724,7384,81.23844653318396,0.03,30.0,78,81.3431496812907,77.65546586629037,0.03132750252069244,-0.015427629950960819,closed_target
7307,78.7812919249182,7384,81.14473068266574,0.03,30.0,77,81.3431496812907,77.65546586629037,0.03251860554424596,-0.014290525467655203,closed_target
7308,78.77930419571724,7384,81.14268332158876,0.03,30.0,76,81.3431496812907,77.65546586629037,0.032544657657852645,-0.014265654424096457,closed_target
7309,78.89408561176171,7384,81.26090818011457,0.03,30.0,75,81.3431496812907,77.65546586629037,0.031042429233299522,-0.015699779468471124,closed_target
7310,78.90552297638995,7384,81.27268866568164,0.03,30.0,74,81.3431496812907,77.65546586629037,0.030892979514629614,-0.015842453898615143,closed_target
7312,78.58500137854165,7384,80.9425514198979,0.03,30.0,72,81.3431496812907,77.65546586629037,0.03509764273545189,-0.011828408677805222,closed_target
7313,78.8514250306653,7384,81.21696778158525,0.03,30.0,71,81.3431496812907,77.65546586629037,0.03160024881803175,-0.015167248580603561,closed_target
7316,78.84182301139805,7384,81.20707770173999,0.03,30.0,68,81.3431496812907,77.65546586629037,0.03172588575902203,-0.015047307378168666,closed_target
7448,74.18062510527434,7488,76.40604385843258,0.03,30.0,40,76.6502668636522,67.85742026926611,0.033292274834204195,-0.08524065181487182,closed_target
7447,75.54145537971311,7529,77.80769904110451,0.03,30.0,82,77.88146814330496,67.85742026926611,0.030976538005915374,-0.10171944757779408,closed_target
7446,75.62929423293521,7530,77.89817305992327,0.03,30.0,84,78.01381229460837,67.85742026926611,0.03152902702395902,-0.10276274613553886,closed_target
7489,75.8394219502745,7531,78.11460460878274,0.03,30.0,42,78.22497381156944,75.32506012851229,0.03145530121338574,-0.006782248710960091,closed_target
7445,76.02057346962745,7538,78.30119067371628,0.03,30.0,93,78.40097231162055,67.85742026926611,0.03131256097330207,-0.10738084215614035,closed_target
7440,76.5193670092181,7542,78.81494801949465,0.03,30.0,102,78.91378624037944,67.85742026926611,0.03129167588217094,-0.11319940400066957,closed_target
7444,76.42119660759818,7542,78.71383250582612,0.03,30.0,98,78.91378624037944,67.85742026926611,0.03261646955857055,-0.11206022305964009,closed_target
7441,76.77917805829497,7543,79.08255340004382,0.03,30.0,102,79.24260779318337,67.85742026926611,0.03208460675390432,-0.11620022530398763,closed_target
7443,76.6229209253066,7543,78.9216085530658,0.03,30.0,100,79.24260779318337,67.85742026926611,0.034189337031806495,-0.11439789230412209,closed_target
7442,77.0275226437947,7544,79.33834832310853,0.03,30.0,102,79.46302164372766,67.85742026926611,0.031618555502500804,-0.11904968587571889,closed_target
7439,77.55417674475088,7556,79.88080204709341,0.03,30.0,117,80.01547635590146,67.85742026926611,0.0317365190949199,-0.12503203415335165,closed_target
7611,76.40779779027115,7731,77.61428898608962,0.015790157951288217,15.790157951288217,120,77.91668663757201,75.73525663310045,0.019747838452857366,-0.008801996348811559,closed_timeout
7612,76.68787638162932,7732,77.74838000698372,0.013828830258343743,13.828830258343743,120,77.91668663757201,75.73525663310045,0.016023526976123872,-0.012422038443055335,closed_timeout
7628,76.340505343355,7742,78.63072050365565,0.03,30.0,114,78.6621104614928,75.73525663310045,0.03041118352172237,-0.007928277492169369,closed_target
7629,76.2835035673995,7742,78.5720086744215,0.03,30.0,113,78.6621104614928,75.73525663310045,0.031181143797252328,-0.007186965840060826,closed_target
7626,76.65569144652268,7746,78.59559010576403,0.02530664876455628,25.30664876455628,120,78.6621104614928,75.73525663310045,0.026174429805644096,-0.012007390397937457,closed_timeout
7627,76.37915448470862,7747,78.67052911924988,0.03,30.0,120,78.95212081929864,75.73525663310045,0.0336867611581788,-0.00843028252868502,closed_target
7630,76.49664348842616,7747,78.79154279307895,0.03,30.0,117,78.95212081929864,75.73525663310045,0.03209915126856506,-0.00995320605721619,closed_target
7631,76.61120764961987,7747,78.90954387910847,0.03,30.0,116,78.95212081929864,75.73525663310045,0.03055575341384644,-0.011433718947827722,closed_target
7633,76.58842738284268,7747,78.88608020432797,0.03,30.0,114,78.95212081929864,75.73525663310045,0.030862279292412715,-0.011139682310977445,closed_target
7632,76.67181058896125,7749,78.97196490663009,0.03,30.0,117,79.04256565545236,75.73525663310045,0.03092081755054368,-0.012215101595574443,closed_target
7732,77.74838000698372,7785,80.08083140719323,0.03,30.0,53,80.44939625348117,77.56881907288414,0.034740482647417574,-0.0023095135111941218,closed_target
7733,77.7175344183688,7785,80.04906045091987,0.03,30.0,52,80.44939625348117,77.56881907288414,0.03515116447732655,-0.0019135365860179839,closed_target
7744,78.27501861805648,7786,80.62326917659817,0.03,30.0,42,80.72369537335744,78.20459722716126,0.031282991668763464,-0.000899666229896942,closed_target
7743,78.40627648897245,7787,80.75846478364163,0.03,30.0,44,80.8144453757155,78.20459722716126,0.030713981004846486,-0.002572233637948092,closed_target
7750,78.8471165771551,7788,81.21253007446975,0.03,30.0,38,81.21378912334052,78.5254291010719,0.03001596822972629,-0.004079888904604754,closed_target
7751,78.8006018750151,7788,81.16461993126556,0.03,30.0,37,81.21378912334052,78.5254291010719,0.030623969752831937,-0.0034920136064399638,closed_target
7752,78.61949923662804,7788,80.97808421372689,0.03,30.0,36,81.21378912334052,78.5254291010719,0.03299804643761735,-0.0011965242270625552,closed_target
7747,78.95212081929864,7789,81.32068444387761,0.03,30.0,42,81.4976703355707,78.5254291010719,0.032241686351886324,-0.005404436433105301,closed_target
7748,78.89035130396528,7789,81.25706184308423,0.03,30.0,41,81.4976703355707,78.5254291010719,0.03304991026797945,-0.004625688653449309,closed_target
7749,79.04256565545236,7789,81.41384262511593,0.03,30.0,40,81.4976703355707,78.5254291010719,0.031060538834482856,-0.0065425071933352535,closed_target
7815,80.50328946294918,7935,79.22529461772888,-0.015875063661945018,-15.875063661945019,120,80.63154062581191,78.71858027595152,0.0015931170479903313,-0.02216939455398346,closed_timeout
7945,79.04366691049172,8025,81.41497691780647,0.03,30.0,80,81.46057669122308,78.71433581630711,0.030576893446355977,-0.004166445043061343,closed_target
7946,78.90474333102165,8025,81.2718856309523,0.03,30.0,79,81.46057669122308,78.71433581630711,0.032391377910947455,-0.002413131412337755,closed_target
7933,79.09250899885477,8028,81.46528426882041,0.03,30.0,95,81.49417976931029,78.71433581630711,0.03036533801817186,-0.0047814032875494105,closed_target
7944,79.11511830935261,8028,81.4885718586332,0.03,30.0,84,81.49417976931029,78.71433581630711,0.030070882920950413,-0.005065814241449712,closed_target
7947,79.09569008658139,8028,81.46856078917882,0.03,30.0,81,81.49417976931029,78.71433581630711,0.030323898560129164,-0.00482142920627946,closed_target
